date,model,cpu,ram,hd,condition,damage,url,sold_for,shipping,total
2019-03-11,T470s,i5-6300U,8,256,used,wear,https://www.ebay.com/itm/Lenovo-THINKPAD-T470s-Core-i5-6th-GEN-8GB-256GB-1080P-SUPER-MEGA-DEAL/264227274848?hash=item3d852c4060%3Ag%3AmRgAAOSwrn9cf9nX&LH_Auction=1,463,0,463
2019-03-30,T460s,i7-6600U,12,512,used,none,https://www.ebay.com/itm/Lenovo-ThinkPad-T460s-14-i7-6600U-2-60GHz-12GB-512GB-M-2-SSD-Windows-10-Laptop/323753148320?epid=12029083905&hash=item4b6130ffa0%3Ag%3AdR0AAOSwPF9cZ1SL&LH_Auction=1&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000,527,24.5,551.5
2019-03-30,T460s,i5-6300U,8,256,used,none,https://www.ebay.com/itm/Lenovo-ThinkPad-T460s-14in-256GB-8GB-Intel-Core-i5-6th-Gen-2-40GHz-8GB/123711218952?hash=item1ccdc36508%3Ag%3AQNYAAOSw1i5bz5qq&LH_Auction=1&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000,355,74.35,429.35
2019-03-29,T460s,i7-6600U,8,256,used,scratches,https://www.ebay.com/itm/Lenovo-ThinkPad-T460s-Core-i7-6600U-2-6GHz-8GB-RAM-256GB-SSD-14-1080p-Ultrabook/372634365824?hash=item56c2bd2f80%3Ag%3AZKwAAOSwQtJclaEy&LH_Auction=1,400,19.29,419.29
2019-03-28,T460s,i7-6600U,8,512,seller refurbished,none,https://www.ebay.com/itm/Lenovo-ThinkPad-T460s-14-i7-6600U-2-60GHz-8GB-512GB-SSD-Windows-10-Laptop/323753144583?epid=12029083905&hash=item4b6130f107%3Ag%3AVHgAAOSwY8JccHUW&LH_Auction=1,436,24.5,460.5
2019-03-28,T460s,i5-6200U,8,128,used,scratches,https://www.ebay.com/itm/Lenovo-ThinkPad-T460s-14-Laptop-i5-6200U-2-4GHz-8GB-128GB/283428017847?hash=item41fda056b7%3Ag%3AT9oAAOSwC4lclm%7EU&LH_Auction=1,291,27.8,318.8
2019-03-24,T460s,i5-6300U,12,256,used,nicks,https://www.ebay.com/itm/Lenovo-Thinkpad-T460s-14-Laptop-i5-6300u-2-4GHz-12GB-Windows-10/273772260244?hash=item3fbe192b94%3Ag%3ALUAAAOSwZ79ck%7E7I&LH_Auction=1,341,10,351
2019-03-24,T460s,i5-6300U,8,256,used,wear,https://www.ebay.com/itm/Lenovo-ThinkPad-T460s-Laptop-i5-6300U-2-4Ghz-14-FHD-1920x1080-IPS-8GB-256GB-WTY/202631810503?hash=item2f2dcc0dc7%3Ag%3A7aYAAOSw3qVck9qu&LH_Auction=1,356,15,371
2019-03-21,T460s,i7-6600U,8,256,used,wear,https://www.ebay.com/itm/Lenovo-Thinkpad-T460S-i7-6600U-2-6GHz-8GB-256GB-SSD-BT-FHD-IPS-Warranty/362580047831?hash=item546b7477d7%3Ag%3AXs4AAOSw4%7E1chrHt&LH_Auction=1,441,39,480
2019-03-18,T460s,i5-6300U,12,256,used,scratches,https://www.ebay.com/itm/Lenovo-Thinkpad-T460s-14-Laptop-i5-6300u-2-4GHz-12GB-256GB-SSD-Win10/273762521161?hash=item3fbd849049%3Ag%3AtG4AAOSw0kBci6lj&LH_Auction=1,320,76.34,396.34
2019-04-09,T460s,i5-6200U,12,128,used,wear,https://www.ebay.com/itm/Lenovo-ThinkPad-T460S-14-Notebook-Win-10-i5-6200u-2-30-GHz-12-GB-128-GB-SS/233185987878,335,0,335
2019-04-09,T470s,i5-7300U,8,256,used,wear,https://www.ebay.com/itm/Lenovo-ThinkPad-T470s-Laptop-i5-7300U-2-6Ghz-8GB-14-FHD-1920x1080-256GB-SSD-WTY/362616384775,489,0,489
2019-04-20,T460s,i5-6300U,8,256,used,scratches,https://www.ebay.com/itm/Lenovo-Thinkpad-T460s-i5-6300U-8GB-DDR4-256GB-SSD-FHD-IPS-Win-7-Pro/113722608829,309.99,31.33,341.32
2019-04-22,T460s,i5-6200U,8,256,used,wear,https://www.ebay.com/itm/Lenovo-ThinkPad-T460s-QHD-2560x1440-IPS-i5-6200U-2-3Gz-8GB-RAM-180GB-SSD/223486154282,426.55,,426.55
2019-04-18,T460s,i7-6600U,16,128,used,scratches,https://www.ebay.com/itm/Lenovo-ThinkPad-T460s-Intel-Core-i5-6300u-2-4GHz-8GB-RAM-NO-HDD-OS-MH/153452800114,406,0,406
2019-04-17,T470s,i7-7600U,24,256,used,wear,https://www.ebay.com/itm/Lenovo-ThinkPad-T470s-14-FHD-Laptop-Computer-Intel-Core-i7-7600U-256GB-SSD/362619512606,545.08,24.01,569.09
2019-04-17,T470s,i7-7600U,24,256,used,wear,https://www.ebay.com/itm/Lenovo-ThinkPad-T470s-14-FHD-Laptop-Computer-Intel-Core-i7-7600U-256GB-SSD/401748433473,565,24.01,589.01
2019-04-17,T470s,i7-7600U,24,256,used,wear,https://www.ebay.com/itm/Lenovo-ThinkPad-T470s-14-FHD-Laptop-Computer-Intel-Core-i7-7600U-256GB-SSD/382898067482,575.01,24.01,599.02
2019-04-22,T460s,i5-6300U,8,256,seller refurbished,wear,https://www.ebay.com/itm/Lenovo-ThinkPad-T460s-Laptop-14-i5-6300U-2-4GHz-8GB-256GB-WIN10/382902017514,350,25,375
2019-04-17,T460s,i5-6300U,8,256,used,wear,https://www.ebay.com/itm/Lenovo-ThinkPad-T460s-14in-256GB-8GB-Intel-Core-i5-6th-Gen-2-40GHz-8GB/113718693999,343,74.35,417.35
2019-04-21,T460s,i5-6300U,12,256,used,wear,https://www.ebay.com/itm/Lenovo-Thinkpad-T460s-Mint-i5-6300U-12gb-RAM-256gb-SSD-FHD-IPS-Warranty/273807250912,430,0,430
2019-04-15,T460s,i5-6300U,4,0,used,scratches,https://www.ebay.com/itm/Lenovo-Thinkpad-T460S-Intel-Core-i5-6300m-2-400GHz-4GB-RAM-NO-HDD-OS-WW/273804494621,265,35.41,300.41
2019-04-19,T460s,i7-6600U,8,256,used,wear,https://www.ebay.com/itm/Lenovo-ThinkPad-T460s-14-Intel-Core-i7-6600U-2-60GHz-256GB-SSD-8GB-RAM-WARRANTY/133008510140,419.99,12.41,432.4
2019-04-21,T460s,i5-6300U,4,256,used,wear,https://www.ebay.com/itm/Lenovo-Thinkpad-T460s-14-Laptop-i5-6300u-2-3GHz4GB-256GB-SSD-Win10/254195527344,297,29.11,326.11
2019-09-04,T460s,i7-6600U,8,256,used,wear,https://www.ebay.com/itm/Lenovo-ThinkPad-T460s-14-Intel-Core-i7-6600U-2-60GHz-256GB-SSD-8GB-WARRANTY/133005952018,419.99,11.94,431.93
2019-04-13,T460s,i5-6300U,8,256,used,wear,https://www.ebay.com/itm/LENOVO-THINKPAD-T460S-INTEL-CORE-I5-6300U-2-40GHZ-256GB-8GB-RAM-NO-OS/362617878742,321,18.26,339.26
2019-04-12,T470s,i5-6300U,8,256,used,wear,https://www.ebay.com/itm/Lenovo-ThinkPad-T470s-14Touchscreen-240GB-i5-6th-Gen-2-40-2-50GHz-8GB-RAM/173868060925,375,27.8,402.8
2019-04-14,T460s,i5-6300U,8,256,used,wear,https://www.ebay.com/itm/Lenovo-Thinkpad-T460s-14-Laptop-i5-6300u-2-4GHz-8GB-256GB-SSD-Windows-10-Pro/283444262747,326,31.3,357.3
